Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
LAW DEPARTMENT,Office Manager,CLERICAL ASSOCIATE,Clerical & Administrative Support,F,30683,49707,Annual,"100 Church St., N.Y."
DEPT OF INFO TECH & TELECOMM,"Deputy Director, Audits and Accounts",ADM MANAGER-NON-MGRL FRM M1/M2,"Finance, Accounting, & Procurement",F,49492,60000,Annual,75 Park Place New York Ny
NYC EMPLOYEES RETIREMENT SYS,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny"
OFFICE OF COLLECTIVE BARGAININ,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),Clerical & Administrative Support,P,8.75,10.36,Hourly,100 Gold Street
OFFICE OF COLLECTIVE BARGAININ,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),Clerical & Administrative Support,P,8.75,10.36,Hourly,100 Gold Street
DEPT OF HEALTH/MENTAL HYGIENE,"Clerical Associate, Bureau of Communicable Diseases",CLERICAL ASSOCIATE,Clerical & Administrative Support,F,32086,51981,Annual,42-09 28th Street
DEPT OF INFO TECH & TELECOMM,"Deputy Director, Audits and Accounts",COMPUTER ASSOC (TECH SUPP),"Finance, Accounting, & Procurement Information Technology & Telecommunications",,43292,53000,Annual,75 Park Place New York Ny
DEPT OF INFO TECH & TELECOMM,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,Community & Business Services,F,49492,69000,Annual,59 Maiden Lane
DEPT OF HEALTH/MENTAL HYGIENE,"Clerical Associate, Bureau of Vital Statistics",CLERICAL ASSOCIATE,Clerical & Administrative Support,F,32086,51981,Annual,"125 Worth Street, Nyc"
DEPT OF INFO TECH & TELECOMM,Application Support Reporting Specialist,COMPUTER SPECIALIST (SOFTWARE),Information Technology & Telecommunications,,81290,95896,Annual,2 Metro Tech
DEPT OF HEALTH/MENTAL HYGIENE,Audits & Accounts Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,"Finance, Accounting, & Procurement",F,44735,55000,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,Audits & Accounts Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,"Finance, Accounting, & Procurement",F,44735,55000,Annual,421 East 26th Street NY NY
NYC HOUSING AUTHORITY,HEATING PLANT TECHNICIAN,HEATING PLANT TECHNICIAN (HA),Maintenance & Operations,F,27772,45632,Annual,Heating Mgt-Operations
NYC HOUSING AUTHORITY,HEATING PLANT TECHNICIAN,HEATING PLANT TECHNICIAN (HA),Maintenance & Operations,F,27772,45632,Annual,Heating Mgt-Operations
DEPT OF INFO TECH & TELECOMM,GIS Analyst,COMPUTER PROGRAMMER ANALYST,Information Technology & Telecommunications,F,45174,62370,Annual,2 Metro Tech
LAW DEPARTMENT,Facilities Central Supervisor,CLERICAL ASSOCIATE,Clerical & Administrative Support,F,32086,51981,Annual,"100 Church St., N.Y."
DEPT OF INFO TECH & TELECOMM,"Director, Infrastructure Build Coordinator",COMPUTER SYSTEMS MANAGER,Information Technology & Telecommunications,,49492,100000,Annual,2 Metro Tech
LAW DEPARTMENT,Paralegal Aide,PARALEGAL AIDE,Clerical & Administrative Support Legal,F,38089,53300,Annual,"100 Church St., N.Y."
NYC HOUSING AUTHORITY,HIGH PRESSURE PLANT TENDER,HIGH PRESSURE PLANT TENDER,Maintenance & Operations,F,65458.8,65458.8,Annual,Heating Mgt-Operations
NYC HOUSING AUTHORITY,HIGH PRESSURE PLANT TENDER,HIGH PRESSURE PLANT TENDER,Maintenance & Operations,F,65458.8,65458.8,Annual,Heating Mgt-Operations
ADMIN FOR CHILDREN'S SVCS,Network Engineer I LAN/WAN,CERTIFIED IT ADMINISTRATOR LAN,Information Technology & Telecommunications,F,72260,98163,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Network Engineer I LAN/WAN,CERTIFIED IT ADMINISTRATOR LAN,Information Technology & Telecommunications,F,72260,98163,Annual,"150 William Street, New York N"
DEPT OF INFO TECH & TELECOMM,Research Assistant,RESEARCH ASSISTANT,Clerical & Administrative Support Legal,F,40055,60611,Annual,75 Park Place New York Ny
DEPARTMENT OF TRANSPORTATION,Systems Administrator - Computer Software,CERTIFIED IT ADMINISTRATOR LAN,Information Technology & Telecommunications,F,81290,114954,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Systems Administrator - Computer Software,CERTIFIED IT ADMINISTRATOR LAN,Information Technology & Telecommunications,F,81290,114954,Annual,55 Water St Ny Ny
DEPT OF INFO TECH & TELECOMM,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,Clerical & Administrative Support Community & Business Services,F,53373,72000,Annual,59 Maiden Lane
ADMIN FOR CHILDREN'S SVCS,Tracking and Monitoring Data Analyst,ASSOCIATE STAFF ANALYST,Social Services,F,59536,88649,Annual,"66 John Street, New York, Ny"
ADMIN FOR CHILDREN'S SVCS,Tracking and Monitoring Data Analyst,ASSOCIATE STAFF ANALYST,Social Services,F,59536,88649,Annual,"66 John Street, New York, Ny"
DEPT OF INFO TECH & TELECOMM,311 Escalation Line Team Leader,ASSOCIATE CALL CENTER REPRESEN,Community & Business Services,F,43118,49586,Annual,59 Maiden Lane
DEPT OF ENVIRONMENT PROTECTION,"Deputy Commissioner, Wastewater Treatment",ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning Maintenance & Operations",F,198518,198518,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,"Deputy Commissioner, Wastewater Treatment",ADMINISTRATIVE ENGINEER,"Engineering, Architecture, & Planning Maintenance & Operations",F,198518,198518,Annual,96-05 Horace Harding Expway
DEPT OF HEALTH/MENTAL HYGIENE,Public Health Nurse (School Health),PUBLIC HEALTH NURSE (SCHOOL HE,Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,Public Health Nurse (School Health),PUBLIC HEALTH NURSE (SCHOOL HE,Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Sexually Transmitted Diseases Prevention and Control",PUBLIC HEALTH ADVISER,Health,F,41452,52821,Annual,R E DEV FOR Preservation
DEPT OF INFO TECH & TELECOMM,Payroll Supervisor,COMMUNITY ASSOCIATE,Clerical & Administrative Support,,33799,56249,Annual,75 Park Place New York Ny
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of STD Prevention and Control",PUBLIC HEALTH ADVISER,Health,P,18.8112,24.2923,Hourly,295 Flatbush Ext Brooklyn
DEPT OF HEALTH/MENTAL HYGIENE,"Office Clerk AOT, Bureau of Mental Health",CLERICAL ASSOCIATE,Clerical & Administrative Support,,28965,43152,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Office Clerk AOT, Bureau of Mental Health",CLERICAL ASSOCIATE,Clerical & Administrative Support,,28965,43152,Annual,42-09 28th Street
DEPT OF INFO TECH & TELECOMM,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,Community & Business Services,F,64000,71000,Annual,59 Maiden Lane
NYC HOUSING AUTHORITY,MAINTENANCE WORKER,MAINTENANCE WORKER,Maintenance & Operations,,51907.68,54580.32,Annual,Manhattan Floating Staff
NYC HOUSING AUTHORITY,MAINTENANCE WORKER,MAINTENANCE WORKER,Maintenance & Operations,,51907.68,54580.32,Annual,Manhattan Floating Staff
NYC EMPLOYEES RETIREMENT SYS,CERTIFIED IT ADMINISTRATOR (WAN),CERT. IT ADMINISTRATOR WAN,Information Technology & Telecommunications,,89383,134914,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,CERTIFIED IT ADMINISTRATOR (WAN),CERT. IT ADMINISTRATOR WAN,Information Technology & Telecommunications,,89383,134914,Annual,"335 Adams Street, Brooklyn Ny"
DEPT OF INFO TECH & TELECOMM,Payroll Data Associate,CLERICAL ASSOCIATE,Clerical & Administrative Support,,32888,50000,Annual,75 Park Place New York Ny
DEPT OF INFO TECH & TELECOMM,Senior Civil Service Advisor,ASSOCIATE STAFF ANALYST,Clerical & Administrative Support Policy & Analysis,F,62260,92704,Annual,75 Park Place New York Ny
ADMIN FOR CHILDREN'S SVCS,Director of Senior Practice Consultation,ADMINISTRATIVE DIRECTOR OF SOC,Social Services,F,58675,95000,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Director of Senior Practice Consultation,ADMINISTRATIVE DIRECTOR OF SOC,Social Services,F,58675,95000,Annual,"150 William Street, New York N"
DEPT OF HEALTH/MENTAL HYGIENE,"HIV Program Associate, Bureau of STD Prevention and Control",SUPERVISING PUBLIC HEALTH ADVI,Health,F,48900,69042,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"HIV Program Associate, Bureau of STD Prevention and Control",SUPERVISING PUBLIC HEALTH ADVI,Health,F,48900,69042,Annual,42-09 28th Street
DEPT OF INFO TECH & TELECOMM,Senior Quality Oversight Analyst,COMPUTER SYSTEMS MANAGER,Information Technology & Telecommunications,F,58675,125000,Annual,75 Park Place New York Ny
LAW DEPARTMENT,Computer Associate,COMPUTER ASSOC (OPERATIONS),Information Technology & Telecommunications,F,55556,82776,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Computer Associate,COMPUTER ASSOC (OPERATIONS),Information Technology & Telecommunications,F,55556,82776,Annual,"100 Church St., N.Y."
ADMIN FOR CHILDREN'S SVCS,Best Practices Coach,CHILD AND FAMILY SPECIALIST,Social Services,F,66000,89008,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Best Practices Coach,CHILD AND FAMILY SPECIALIST,Social Services,F,66000,89008,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Quality Improvement Specialist,COMMUNITY COORDINATOR,Community & Business Services Social Services,F,48895,75900,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Quality Improvement Specialist,COMMUNITY COORDINATOR,Community & Business Services Social Services,F,48895,75900,Annual,"150 William Street, New York N"
DEPT OF INFO TECH & TELECOMM,Edge Engineer,CERTIFIED IT ADMINISTRATOR (LA,Information Technology & Telecommunications,F,87203,120000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,Edge Engineer,CERTIFIED IT ADMINISTRATOR (LA,Information Technology & Telecommunications,F,87203,120000,Annual,2 Metro Tech
NYC EMPLOYEES RETIREMENT SYS,"CERTIFIED IT ADMINISTRATOR (LAN/WAN), LEVEL 4",CERTIFIED IT ADMINISTRATOR (LA,Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,"CERTIFIED IT ADMINISTRATOR (LAN/WAN), LEVEL 4",CERTIFIED IT ADMINISTRATOR (LA,Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny"
ADMIN FOR CHILDREN'S SVCS,Business and Data Analyst Manager,ASSOCIATE STAFF ANALYST,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Business and Data Analyst Manager,ASSOCIATE STAFF ANALYST,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N"
NYC EMPLOYEES RETIREMENT SYS,CERTIFIED IT ADMINISTRATOR (LAN/WAN),CERTIFIED IT ADMINISTRATOR (LA,Information Technology & Telecommunications,F,72260,98163,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,CERTIFIED IT ADMINISTRATOR (LAN/WAN),CERTIFIED IT ADMINISTRATOR (LA,Information Technology & Telecommunications,F,72260,98163,Annual,"335 Adams Street, Brooklyn Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",PEST CONTROL AIDE,"Public Safety, Inspections, & Enforcement",F,26457,32665,Annual,"158 E 115Th St., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",PEST CONTROL AIDE,"Public Safety, Inspections, & Enforcement",F,26457,32665,Annual,"158 E 115Th St., N.Y."
LAW DEPARTMENT,Law Student,STUDENT LEGAL SPECIALIST,Legal,F,35213,40495,Annual,OCSE Central Court Svcs
LAW DEPARTMENT,Law Student,STUDENT LEGAL SPECIALIST,Legal,F,35213,40495,Annual,OCSE Central Court Svcs
ADMIN FOR CHILDREN'S SVCS,Deputy Budget Director,ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",,58675,156793,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Deputy Budget Director,ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",,58675,156793,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Senior Budget Analyst,ASSOCIATE STAFF ANALYST,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Senior Budget Analyst,ASSOCIATE STAFF ANALYST,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Trauma-Informed Early Care and Education Case Supervisor,SUPERVISOR II SOCIAL WORK,Social Services,F,60049,82455,Annual,"66 John Street, New York, Ny"
ADMIN FOR CHILDREN'S SVCS,Trauma-Informed Early Care and Education Case Supervisor,SUPERVISOR II SOCIAL WORK,Social Services,F,60049,82455,Annual,"66 John Street, New York, Ny"
ADMIN FOR CHILDREN'S SVCS,APA Foster Care Program Evaluator,PROGRAM EVALUATOR (ACS),Policy & Analysis Social Services,F,60049,89008,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,APA Foster Care Program Evaluator,PROGRAM EVALUATOR (ACS),Policy & Analysis Social Services,F,60049,89008,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Child Welfare Trainer,COMMUNITY COORDINATOR,Community & Business Services Social Services,F,48895,75900,Annual,"492 First Avenue, New York, Ny"
ADMIN FOR CHILDREN'S SVCS,Child Welfare Trainer,COMMUNITY COORDINATOR,Community & Business Services Social Services,F,48895,75900,Annual,"492 First Avenue, New York, Ny"
ADMIN FOR CHILDREN'S SVCS,Child Welfare Analyst,CITY RESEARCH SCIENTIST,Information Technology & Telecommunications Policy & Analysis Social Services,F,68239,85644,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Child Welfare Analyst,CITY RESEARCH SCIENTIST,Information Technology & Telecommunications Policy & Analysis Social Services,F,68239,85644,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Asset Management Specialist,COMPUTER ASSOC (TECH SUPP),Social Services,F,46405,67568,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Asset Management Specialist,COMPUTER ASSOC (TECH SUPP),Social Services,F,46405,67568,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Directory Services Support,COMPUTER ASSOC (SOFTWARE),Information Technology & Telecommunications,F,60189,83440,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Directory Services Support,COMPUTER ASSOC (SOFTWARE),Information Technology & Telecommunications,F,60189,83440,Annual,"150 William Street, New York N"
DEPT OF HEALTH/MENTAL HYGIENE,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",PUBLIC HEALTH NURSE (SCHOOL HE,Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,"CATCH School Nurse,  Bureau of School Health/SH Reproductive Health",PUBLIC HEALTH NURSE (SCHOOL HE,Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation
DEPT OF INFO TECH & TELECOMM,IP Telephony Design Engineer,CERTIFIED IT ADMINISTRATOR (LA,Information Technology & Telecommunications,,87203,125000,Annual,2 Metro Tech
ADMIN FOR CHILDREN'S SVCS,Policy Writer,AGENCY ATTORNEY,Legal Policy & Analysis,F,57005,87027,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Policy Writer,AGENCY ATTORNEY,Legal Policy & Analysis,F,57005,87027,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Supervising Budget Analyst Early Care &Education,ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",F,61031,95022,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Supervising Budget Analyst Early Care &Education,ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",F,61031,95022,Annual,"150 William Street, New York N"
POLICE DEPARTMENT,Civilian Investigator,INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,37492,59863,Annual,"1 Police Plaza, N.Y."
DEPT OF INFO TECH & TELECOMM,Senior Exchange Engineer,COMPUTER SPECIALIST (SOFTWARE),Information Technology & Telecommunications,F,89383,115000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,Senior Exchange Engineer,COMPUTER SPECIALIST (SOFTWARE),Information Technology & Telecommunications,F,89383,115000,Annual,2 Metro Tech
LAW DEPARTMENT,Claim Specialist,CLAIM SPECIALIST,Clerical & Administrative Support Legal,F,37492,59863,Annual,55 Water St Ny Ny
LAW DEPARTMENT,Claim Specialist,CLAIM SPECIALIST,Clerical & Administrative Support Legal,F,37492,59863,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Principal Administrative Associate I,PRINCIPAL ADMINISTRATIVE ASSOC,Clerical & Administrative Support,,42856,62779,Annual,34-02 Queens Boulevard Long Is
DEPARTMENT OF TRANSPORTATION,Principal Administrative Associate I,PRINCIPAL ADMINISTRATIVE ASSOC,Clerical & Administrative Support,,42856,62779,Annual,34-02 Queens Boulevard Long Is
LAW DEPARTMENT,Senior Windows Administrator,COMPUTER SPECIALIST (SOFTWARE),Information Technology & Telecommunications,F,77157,99406,Annual,"100 Church St., N.Y."
DEPARTMENT OF TRANSPORTATION,Investigator,INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,37492,59863,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Investigator,INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,37492,59863,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Admin Engineer (NM),ADM ENGINEER (NON MGRL),"Engineering, Architecture, & Planning",F,48535,132061,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Admin Engineer (NM),ADM ENGINEER (NON MGRL),"Engineering, Architecture, & Planning",F,48535,132061,Annual,55 Water St Ny Ny
ADMIN FOR CHILDREN'S SVCS,Juvenile Justice Trainer,ADMINISTRATIVE DIRECTOR OF RES,Social Services,F,53051,145991,Annual,"492 First Avenue, New York, Ny"
ADMIN FOR CHILDREN'S SVCS,Juvenile Justice Trainer,ADMINISTRATIVE DIRECTOR OF RES,Social Services,F,53051,145991,Annual,"492 First Avenue, New York, Ny"
ADMIN FOR CHILDREN'S SVCS,IT Infrastructure Project Manager,COMPUTER SPECIALIST (SOFTWARE),Information Technology & Telecommunications,,74066,92308,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,IT Infrastructure Project Manager,COMPUTER SPECIALIST (SOFTWARE),Information Technology & Telecommunications,,74066,92308,Annual,"150 William Street, New York N"
DEPT OF INFO TECH & TELECOMM,UNIX/Linux Systems Lead,COMPUTER SPECIALIST (SOFTWARE),Information Technology & Telecommunications,F,89383,119000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,UNIX/Linux Systems Lead,COMPUTER SPECIALIST (SOFTWARE),Information Technology & Telecommunications,F,89383,119000,Annual,2 Metro Tech
DEPARTMENT OF TRANSPORTATION,Staff Analyst 2,STAFF ANALYST,"Finance, Accounting, & Procurement",F,56458,72310,Annual,55 Water St Ny Ny
ADMIN FOR CHILDREN'S SVCS,Compliance Review Unit Supervisor,ASSOCIATE STAFF ANALYST,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Compliance Review Unit Supervisor,ASSOCIATE STAFF ANALYST,"Finance, Accounting, & Procurement",F,63817,95022,Annual,"150 William Street, New York N"
DEPT OF ENVIRONMENT PROTECTION,Budget Analyst,STAFF ANALYST,"Finance, Accounting, & Procurement Policy & Analysis",F,56458,64927,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,"Engineering, Architecture, & Planning",F,52000,52000,Annual,59-17 Junction Blvd Corona Ny
LAW DEPARTMENT,Office Manager,CLERICAL ASSOCIATE,Clerical & Administrative Support,F,32888,53281,Annual,198 E 161st Street
LAW DEPARTMENT,Senior Windows Administrator,COMPUTER ASSOC (SOFTWARE),Information Technology & Telecommunications,F,64807,90202,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Senior Windows Administrator,COMPUTER ASSOC (SOFTWARE),Information Technology & Telecommunications,F,64807,90202,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Computer Associate,COMPUTER ASSOC (SOFTWARE),Information Technology & Telecommunications,F,60189,83440,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Computer Associate,COMPUTER ASSOC (SOFTWARE),Information Technology & Telecommunications,F,60189,83440,Annual,"100 Church St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Mechanical Engineer,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning",F,72805,101148,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Mechanical Engineer,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning",F,72805,101148,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Incident Investigator,ASSOCIATE PUBLIC HEALTH SANITA,Policy & Analysis,F,60673,91795,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Environmental Health & Safety Incident Investigator,ASSOCIATE PUBLIC HEALTH SANITA,Policy & Analysis,F,60673,91795,Annual,59-17 Junction Blvd Corona Ny
LAW DEPARTMENT,Paralegal Assistant Supervisor,PARALEGAL AIDE,Administration & Human Resources Legal Affairs,F,39041,54633,Annual,"100 Church St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Retrofit Accelerator Outreach and Marketing Coordinator,COMMUNITY COORDINATOR,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,48895,75900,Annual,253 Broadway New York Ny
DEPT OF ENVIRONMENT PROTECTION,Retrofit Accelerator Outreach and Marketing Coordinator,COMMUNITY COORDINATOR,"Finance, Accounting, & Procurement Policy, Research & Analysis",F,48895,75900,Annual,253 Broadway New York Ny
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT CIVIL ENGINEER,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,51586,77404,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT CIVIL ENGINEER,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,51586,77404,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Machinist,MACHINIST,Building Operations & Maintenance,F,35.95,35.95,Hourly,"465 Columbus Ave. Valhalla, Ny"
DEPT OF ENVIRONMENT PROTECTION,Machinist,MACHINIST,Building Operations & Maintenance,F,35.95,35.95,Hourly,"465 Columbus Ave. Valhalla, Ny"
DEPT OF INFO TECH & TELECOMM,Senior Technology Analyst/Coordinator,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,61995,71294,Annual,2 Metro Tech
DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 3,ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,81443,110413,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Electrical Engineer 3,ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,81443,110413,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Civil Engineer 2,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,72805,101148,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Civil Engineer 2,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,72805,101148,Annual,96-05 Horace Harding Expway
DEPT OF HEALTH/MENTAL HYGIENE,"Instructor, Division of Environmental Health, Bureau of Environmental Administration (Health Academy)",ASSOCIATE PUBLIC HEALTH SANITA,Health,F,54457,84641,Annual,"600 W 168Th St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Associate Public Health Sanitarian 2,ASSOCIATE PUBLIC HEALTH SANITA,Health,F,60673,91795,Annual,96-05 Horace Harding Expway
